PubChem ID, E(HOMO/PM6) [eV], E(LUMO/PM6) [eV],E(LUMO)-E(HOMO) [eV], DipoleMoment [D], IsotropicAverageAlpha [A.U.], AverageBeta [A.U.], AverageGamma [A.U.], S1, S2, INDOS-OscStr, CI-Coef**2 ,NsssCH,NdssC,NaasC,NsssN,NaasN,NsOH,NaaS,nBM,nDB,nC,nN,nO,nCsp3,nCsp2,nCsp,max_conj_path,nCs,nCrt,nCbH,nCb-,nCconj,nR=Cs,nR=Ct,nRCOOR,nRCO,nArCO,nN=C-N<,nRC=N,nRNH2,nArNH2,nRNHR,nArNHR,nRNR2,nArNR2,nArNO2,nROH,nArOH,nArOR,nPyrroles,nFuranes,nPyridines,nPyrazines,nR05,nR06,nBnz,DiradicalCharacter(PUHF),IsOK
100318,-9.12622,-1.75709,7.36913,4.076,164.88363,588.5937,33629.29573,4.2434648,13.9070159,0.036331,0,0,2,5,0,0,0,0,14,2,15,1,2,1,14,0,16,0,0,7,5,2,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0
10037134,-8.51613,0.20123,8.71736,2.092,205.2261,2087.9884,154084.39319,5.6614756,10.0058785,0.471831,0.00802799872081,0,2,6,0,0,1,0,14,2,14,1,3,0,14,0,16,0,0,6,6,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,2,0,0
10059163,-9.45638,0.23785,9.69423,1.959,172.97207,33.0548,9026.15102,6.4676789,21.8037178,0.017499,0,0,0,3,0,0,0,0,14,2,12,2,2,0,12,0,6,0,0,9,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,2,0.008975,0
100949,-8.93562,-0.85003,8.08559,4.234,151.7413,397.4073,16734.32812,3.6490762,13.7321026,0.022266,0,0,2,6,0,0,0,0,14,2,14,2,2,0,14,0,16,0,0,6,6,2,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0
101070,-8.37955,-0.67352,7.70603,6.494,163.85183,420.7676,18558.08444,2.8667802,9.5809206,0.239641,0.001967714670745,0,2,6,0,0,0,0,14,2,14,2,2,0,14,0,16,0,0,6,6,2,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0
101892,-8.02242,-0.86989,7.15253,0.665,160.81146,90.1056,25341.60777,3.0891893,4.6602008,0.264751,0.031064721678497,0,2,2,0,0,0,0,9,3,13,0,0,1,12,0,12,1,0,4,2,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0.284534,1
10243279,-9.67338,-0.57527,9.09811,3.573,190.79007,144.8859,16116.06109,4.9122819,12.3058416,0.195695,0,1,3,0,0,0,0,0,3,3,9,1,2,2,7,0,6,1,0,0,0,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0.005466,0
10376773,-7.7012,-1.36522,6.33598,4.941,168.91831,428.6797,27481.65996,3.2503208,14.2296599,0.023643,0,1,1,2,1,0,0,0,9,3,12,2,1,1,11,0,12,1,0,4,2,5,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0
10379,-8.98973,-1.73198,7.25775,4.01,176.6128,1318.9988,92598.39262,3.3754863,9.7055277,0.552893,0,0,2,2,0,0,1,0,9,3,12,1,2,0,12,0,6,0,0,4,2,5,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0.109124,1
10398412,-9.33183,0.15108,9.48291,1.668,174.35258,73.934,11662.18985,5.979694,13.7707282,0.305654,0,0,1,2,0,0,0,0,14,2,13,4,1,0,13,0,10,0,0,10,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.010917,0
