PubChem ID, E(HOMO/PM6) [eV], E(LUMO/PM6) [eV],E(LUMO) – E(HOMO) [eV], DipoleMoment [D], IsotropicAverageAlpha [A.U.], AverageBeta [A.U.], AverageGamma [A.U.], S1, S2, INDOS-OscStr,nBM,nDB,nAB,nC,nN,nO,nCsp3,nCsp2,nCsp,Fsp3,max_conj_path,nR05,nR06,nR08,nBnz,HOMA,AROM,HOMT,nCs,nCrt,nCbH,nCb-,nCconj,nR=Cs,nR=Ct,nRCOOR,nRCO,nArCO,nN=C-N<,nRC=N,nRNH2,nArNH2,nRNHR,nArNHR,nRNR2,nArNR2,nArNO2,nROH,nArOH,nArOR,nPyrroles,nFuranes,nPyridines,nPyrazines,NaaCH,NsssCH,NdssC,NaasC,NsssN,NtN,NaasN,NaaNH,NsOH,NaaS,DRC(PUHF)
9204,-8.54611,-0.73092,7.81519,1.536,159.40059,123.1291,25546.43153,3.5327451,6.6718922,0.476578,9,3,6,13,0,0,1,12,0,0.077,12,1,2,0,1,0.205,0.961,2.665,1,0,4,2,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,2,0,0,0,0,0,0,0.072
9218,-9.26188,-1.40925,7.85263,3.757,121.99585,291.4498,13014.80903,3.3314786,6.1260377,0.108594,3,3,0,9,1,2,2,7,0,0.222,6,2,1,0,0,-0.759,0,-3.793,1,0,0,0,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0.099
9362,-8.83598,-1.58084,7.25514,0.687,170.21558,68.1567,27988.12067,3.6786444,5.5045321,0.425507,9,3,6,12,2,1,1,11,0,0.083,12,0,3,0,1,na,na,na,1,0,4,2,5,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,2,1,0,0,0,0,0,0.265
10379,-8.98973,-1.73198,7.25775,4.01,176.6128,1318.9988,92598.39262,3.3754863,9.7055277,0.552893,9,3,6,12,1,2,0,12,0,0,6,0,2,0,1,0.118,0.983,1.296,0,0,4,2,5,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,2,2,0,0,0,0,1,0,0.109
11352,-8.33713,-1.13119,7.20594,3.879,178.11646,459.5623,38648.39746,3.7980508,6.9014299,0.353711,16,0,16,13,2,0,0,13,0,0,14,0,3,0,2,0.56,0.925,8.955,0,0,7,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,1,0,0,0,0,0,0,0.139
11353,-8.12013,-1.11173,7.0084,1.116,179.75249,760.4763,40818.1792,3.7236845,6.9110001,0.351613,16,0,16,13,2,0,0,13,0,0,14,0,3,0,2,0.543,0.924,8.69,0,0,7,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,1,0,0,0,0,0,0,0.138
17172,-7.96443,-0.97715,6.98728,6.262,245.75629,1841.2069,119594.02881,3.3626122,5.5973461,1.065336,6,6,0,15,2,1,4,11,0,0.267,8,0,3,0,0,na,na,na,1,1,0,0,7,9,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0.210
18865,-7.9598,-1.02442,6.93538,2.046,198.23638,214.7064,87101.11403,3.7137711,6.6216388,0.499091,16,0,16,13,3,0,0,13,0,0,14,0,3,0,2,0.538,0.924,8.609,0,0,6,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,2,0,0,0,0,0,0,0.124
18944,-9.4173,-1.71086,7.70644,2.949,183.54313,1742.3524,144101.2871,3.2814449,8.6871036,0.590508,10,5,5,9,4,4,1,8,0,0.111,9,1,0,0,0,-0.092,0.966,-0.828,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,2,2,0,0,0,0,0,0,0.094
21082,-7.81381,-0.94775,6.86606,0.028,189.10563,0.7313,19275.46737,3.7599128,5.823326,0.370909,16,0,16,14,0,2,0,14,0,0,14,0,3,0,3,0.615,0.939,9.833,0,0,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8,0,0,2,0,0,0,0,2,0,0.149
21402,-7.37517,-0.71936,6.65581,1.779,214.57138,1003.4417,28533.75484,3.5489356,5.6730071,0.394974,16,0,16,14,2,2,0,14,0,0,14,0,3,0,3,0.584,0.941,9.342,0,0,6,8,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,6,0,0,4,0,0,0,0,2,0,0.159
26592,-8.69765,-1.69509,7.00256,9.059,199.14444,377.0752,58442.41801,3.3742082,9.5604921,0.234141,18,2,16,13,3,2,0,13,0,0,14,0,3,0,2,0.564,0.927,9.02,0,0,7,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,7,0,0,2,0,0,0,0,0,0,0.134
29049,-9.83417,-2.15789,7.67628,6.676,131.08875,106.2966,16479.69215,3.4972726,5.3354812,0.369156,5,5,0,7,3,4,2,5,0,0.286,6,1,1,0,0,na,na,na,1,0,0,0,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0.279
