,Unnamed: 0,PubChem ID, E(HOMO/PM6) [eV], E(LUMO/PM6) [eV], DipoleMoment [D], IsotropicAverageAlpha [A.U.], AverageBeta [A.U.], AverageGamma [A.U.],NsssCH,NdssC,NaasC,NsssN,NaasN,NsOH,NaaS,nBM,nDB,nC,nN,nO,nCsp3,nCsp2,nCsp,max_conj_path,nCs,nCrt,nCbH,nCb-,nCconj,nR=Cs,nR=Ct,nRCOOR,nRCO,nArCO,nN=C-N<,nRC=N,nRNH2,nArNH2,nRNHR,nArNHR,nRNR2,nArNR2,nArNO2,nROH,nArOH,nArOR,nPyrroles,nFuranes,nPyridines,nPyrazines,nR05,nR06,nBnz, S1(CAS2-1+CIS) [eV], S2(CAS2-1+CIS) [eV], INDOS-OscStr(CAS2-1+CIS), CI-Coef**2(CAS2-1+CIS), T1(CAS2-1+CIS) [eV], T2(CAS2-1+CIS) [eV], DiradicalCharacter(PUHF)
0,1,101892,-8.02242,-0.86989,0.665,160.81146,90.1056,25341.60777,0,2,2,0,0,0,0,9,3,13,0,0,1,12,0,12,1,0,4,2,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,3.056419,3.3338391,0.177236,0.044292056247968,0.981690600000093,2.23031570000009,0.284534
1,3,10379,-8.98973,-1.73198,4.01,176.6128,1318.9988,92598.39262,0,2,2,0,0,1,0,9,3,12,1,2,0,12,0,6,0,0,4,2,5,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,2.7532541,2.9655255,0.006745,0.0,1.91874319999988,2.44311069999988,0.109124
2,6,10465615,-7.81466,-1.8035,6.741,218.76285,4497.1152,45413.57756,0,2,6,0,0,0,0,14,2,14,2,2,0,14,0,16,0,0,6,6,2,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1.9358664,2.6120786,0.160863,0.002728120190588,0.89410160000034,1.43994940000034,0.223071
3,9,10680138,-7.72397,-1.08413,2.851,201.93747,246.7256,14785.38897,0,2,3,0,0,2,0,8,2,10,0,5,2,8,0,6,1,0,3,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,2.8954644,3.1951127,0.252236,0.06099200758336,0.715251999999964,2.13623079999996,0.358122
4,10,10750785,-8.5501,-1.98078,1.599,208.12647,66.8218,56645.03757,0,2,6,0,0,0,0,14,2,14,2,2,0,14,0,16,0,0,6,6,2,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2.5808676,2.918952,0.248549,0.042172828172858,0.806557999999768,1.80186579999977,0.498643
5,14,1095028,-8.03267,-1.11472,4.647,177.00488,570.4116,37557.41938,0,0,4,0,0,0,0,15,3,14,2,2,0,14,0,14,0,0,8,4,2,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,2.8236332,4.0818908,0.09649,0.02262000960025,1.17283399999997,2.52260049999997,0.149704
6,15,1095029,-7.8056,-1.10959,4.443,167.85386,799.7848,34082.00869,0,0,2,0,0,2,0,16,0,14,0,2,0,14,0,14,0,0,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,3,2.7473381,3.9026826,0.103226,0.026317395123377,1.0878475999998,2.5218535999998,0.160858
7,20,11020983,-9.44656,-1.65188,5.537,193.70642,593.7309,51513.6302,0,2,5,0,0,0,0,14,2,14,0,2,0,14,0,16,0,0,7,5,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3.5100387,4.0302324,0.532884,0.00652611928336,1.7397019,2.5148287,0.077235
8,26,11147991,-8.41141,-1.59508,3.823,156.03885,525.2244,26523.96628,0,0,3,0,0,1,0,8,2,7,2,3,1,6,0,6,0,0,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,2.4137002,3.5095237,0.182784,0.002181765245797,1.02288060000001,2.36925680000001,0.315883
9,27,11195803,-8.89608,-2.19432,4.643,187.43724,786.8462,82881.73317,0,4,0,1,0,1,0,3,3,8,1,3,4,4,0,6,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2.576337,2.6777737,0.117474,0.023741271968921,0.777837399999953,2.57831249999995,0.205665
10,28,11352,-8.33713,-1.13119,3.879,178.11646,459.5623,38648.39746,0,4,0,1,0,1,0,3,3,6,1,3,2,4,0,6,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,3.5874652,3.7367366,0.159489,0.011426154068376,1.93665979999969,2.65892639999969,0.139248
11,29,11353,-8.12013,-1.11173,1.116,179.75249,760.4763,40818.1792,0,0,2,0,0,0,0,16,0,13,3,0,0,13,0,14,0,0,6,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,3.4856072,3.7010786,0.147552,0.010853005678618,1.84020700000019,2.63162380000019,0.137527
12,35,11966259,-8.82683,-0.8696,2.492,168.32403,66.519,28180.92367,0,0,2,0,1,0,0,15,0,11,5,0,2,9,0,13,0,0,2,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,4.0631517,4.3795651,0.006951,0.01567140440283,2.0845647000001,2.8274793000001,0.075461
13,38,121004,-8.2004,-0.91555,5.497,214.85677,189.0723,37510.0782,0,0,1,0,0,0,1,10,0,6,3,0,0,6,0,9,0,0,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3.7384733,3.7631584,0.202471,0.018290636590694,1.91459470000018,2.88956990000018,0.137036
14,39,1213077,-8.18419,-0.87873,2.299,212.12431,786.4681,77207.48982,0,0,3,1,0,0,0,10,4,10,3,4,4,6,0,6,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,1,3.5106137,3.745721,0.242778,0.0,2.14280869999993,2.64476829999993,0.064941
