PubChem ID, E(LUMO/PM6) [eV],n  [eV], DipoleMoment [D], IsotropicAverageAlpha [A.U.], AverageGamma [A.U.],NaasC,NaasN,NaaS,nBM,nDB,nN,nO,nCsp3,nCsp,nRCOOR,nRCO,nArCO,nN=C-N<,nRC=N,nRNH2,nArNH2,nRNHR,nArNHR,nRNR2,nArNR2,nArNO2,nROH,nArOH,nArOR,nPyrroles,nFuranes,nPyridines,nPyrazines,nR06, S1(CAS2-1+CIS) [eV], INDOS-OscStr(CAS2-1+CIS), CI-Coef**2(CAS2-1+CIS), DiradicalCharacter(PUHF)
101892,-0.86989,3.576265,0.665,160.81146,25341.60777,2,0,0,9,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3.056419,0.177236,0.04429205,0.284534
10379,-1.73198,3.628875,4.01,176.6128,92598.39262,2,0,0,9,3,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2.7532541,0.006745,0,0.109124
10465615,-1.8035,3.00558,6.741,218.76285,45413.57756,6,0,0,14,2,2,2,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,1.9358664,0.160863,0,0.223071
10680138,-1.08413,3.31992,2.851,201.93747,14785.38897,3,0,0,8,2,0,5,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,2.8954644,0.252236,0.06099201,0.358122
10750785,-1.98078,3.28466,1.599,208.12647,56645.03757,6,0,0,14,2,2,2,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,2.5808676,0.248549,0.04217283,0.498643
1095028,-1.11472,3.458975,4.647,177.00488,37557.41938,4,0,0,15,3,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,2.8236332,0.09649,0.02262001,0.149704
1095029,-1.10959,3.348005,4.443,167.85386,34082.00869,2,0,0,16,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,2.7473381,0.103226,0.02631739,0.160858
11020983,-1.65188,3.89734,5.537,193.70642,51513.6302,5,0,0,14,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3.5100387,0.532884,0.00652612,0.077235
11147991,-1.59508,3.408165,3.823,156.03885,26523.96628,3,0,0,8,2,2,3,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,2.4137002,0.182784,0.01850776,0.315883
11195803,-2.19432,3.35088,4.643,187.43724,82881.73317,0,0,0,3,3,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2.576337,0.117474,0.02374127,0.205665
11352,-1.13119,3.60297,3.879,178.11646,38648.39746,0,0,0,3,3,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3.5874652,0.159489,0.01142615,0.139248
11353,-1.11173,3.5042,1.116,179.75249,40818.1792,2,0,0,16,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,3,3.4856072,0.147552,0.010853,0.137527
11966259,-0.8696,3.978615,2.492,168.32403,28180.92367,2,1,0,15,0,5,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,4.0631517,0.006951,0.01567141,0.075461
121004,-0.91555,3.642425,5.497,214.85677,37510.0782,1,0,1,10,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3.7384733,0.202471,0.01829064,0.137036
1213077,-0.87873,3.65273,2.299,212.12431,77207.48982,3,0,0,10,4,3,4,4,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,3.5106137,0.242778,0,0.064941
1224201,-1.15443,3.77388,6.752,192.6814,30025.64514,2,0,0,13,2,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2.2793257,0.007617,0,0.072131
12275330,-1.82622,3.87961,7.979,191.37214,51743.75221,6,0,0,14,2,2,2,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,3.5340215,0.558133,0.0100561,0.085962
12586187,-1.21434,3.4492,0.52,159.76148,14911.74907,4,0,0,14,2,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,3.0822043,0.294583,0.06132198,0.38695
130624,-0.7224,3.61729,3.006,196.84608,16631.5023,1,0,0,17,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2.0510137,0.016433,0.08773612,0.385602
13287597,-1.4874,3.147145,0.759,224.24402,49918.33503,3,1,0,15,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2.7453739,0.246401,0.06414807,0.424779
136238,-1.2654,3.415475,0.683,193.97767,27552.51406,2,0,0,8,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3.2816396,0.212366,0.03243629,0.19843
136611,-0.81859,3.991655,0.477,134.75549,8469.31062,1,0,0,10,4,3,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,1.9928053,0.001099,0,0.1096
139143,-1.35896,3.495455,2.969,177.57193,25009.86613,0,0,0,4,4,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.6337799,0,0.04720188,0.254885
140252,-0.75734,3.77577,0.434,220.82026,24491.30687,4,0,0,9,3,2,5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,2.0492022,0.033178,0,0.217161
140677,-1.17816,3.830925,4.214,186.68922,38914.57238,2,0,0,10,4,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.8051647,0.000295,0,0.115056
141321,-1.50723,3.58375,1.085,185.40445,36138.36519,0,0,0,4,4,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2.5111601,2E-06,0.0454915,0.265143
142316,-0.69043,3.95854,1.883,188.4757,15885.63613,0,0,0,3,3,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3813736,0.057734,0.00689764,0.217233
143380,-0.74101,3.931805,1.092,144.52515,8615.78919,4,0,0,9,3,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2.1088484,0.005644,0,0.129682
143466,-1.15016,3.35702,1.586,209.06955,22576.61495,0,0,0,20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3.1991447,0.215323,0.03329179,0.205161
143532,-0.13272,3.97745,1.244,200.8229,14835.34827,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2.1442674,0.013961,0.00935258,0.150867
145625,-0.47642,4.03455,1.19,123.26438,5903.35217,0,0,0,4,4,1,3,5,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,3.9434643,0.268932,0.03425423,0.155504
146268,-1.6379,3.696685,7.386,194.56554,417850.9664,0,0,0,4,4,1,3,4,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,2.8993631,0.570098,0,0.089043
