,PubChem ID, E(LUMO/PM6) [eV],n, DipoleMoment [D], IsotropicAverageAlpha [A.U.], AverageGamma [A.U.],NaasC,NaasN,NaaS,nBM,nDB,nN,nO,nCsp3,nCsp,nRCOOR,nRCO,nArCO,nN=C-N<,nRC=N,nRNH2,nArNH2,nRNHR,nArNHR,nRNR2,nArNR2,nArNO2,nROH,nArOH,nArOR,nPyrroles,nFuranes,nPyridines,nPyrazines,nR06, S1(CAS2-1+CIS) [eV], INDOS-OscStr(CAS2-1+CIS), CI-Coef**2(CAS2-1+CIS), DiradicalCharacter(PUHF),OK
0,100318,-1.75709,3.684565,4.076,164.88363,33629.29573,5,0,0,14,2,1,2,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,2.7043713,0.000157,0.0,0.0,0
1,10037134,0.20123,4.35868,2.092,205.2261,154084.39319,6,0,0,14,2,1,3,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,4.5370003,0.0084,0.0,0.0,0
2,10059163,0.23785,4.847115,1.959,172.97207,9026.15102,3,0,0,14,2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,4.1004506,0.000891,0.0,0.008975,0
3,100949,-0.85003,4.042795,4.234,151.7413,16734.32812,6,0,0,14,2,2,2,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,2.7825581,0.007258,0.0,0.0,0
4,101070,-0.67352,3.853015,6.494,163.85183,18558.08444,6,0,0,14,2,2,2,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,2.6151027,0.0848,0.0,0.0,0
5,101892,-0.86989,3.576265,0.665,160.81146,25341.60777,2,0,0,9,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3.056419,0.177236,0.04429205,0.284534,1
6,10243279,-0.57527,4.549055,3.573,190.79007,16116.06109,0,0,0,3,3,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.1715105,0.000357,0.0,0.005466,0
7,10376773,-1.36522,3.16799,4.941,168.91831,27481.65996,2,0,0,9,3,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3.0259198,0.012917,0.0,0.0,0
8,10379,-1.73198,3.628875,4.01,176.6128,92598.39262,2,0,0,9,3,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2.7532541,0.006745,0.0,0.109124,1
9,10398412,0.15108,4.741455,1.668,174.35258,11662.18985,2,0,0,14,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4.088865,0.000783,0.0,0.010917,0
