PubChem ID, E(HOMO/PM6) [eV], E(LUMO/PM6) [eV], DipoleMoment [D], IsotropicAverageAlpha [A.U.], IsotropicAverageAlpha [Ang^3], AverageBetaX [A.U.], AverageBetaX [ESU],  AverageBetaY [A.U.], AverageBetaY [ESU], AverageBetaZ [A.U.], AverageBetaZ [ESU], DiradicalCharacter(PUHF)
100318, -9.126220, -1.757090, 4.076, 164.88363, 24.43323, -398.1252, -3.43957e-30, 205.2144, 1.77293e-30, -381.8716, -3.29915e-30 ,0 
10037134, -8.516130, 0.201230, 2.092, 205.2261, 30.41137, 2074.3043, 1.79208e-29, -72.4404, -6.25843e-31, -227.398, -1.96459e-30 ,0 
10059163, -9.456380, 0.237850, 1.959, 172.97207, 25.63182, -11.1422, -9.62618e-32, -31.1172, -2.68834e-31, -0.443, -3.82698e-33 ,.008975 
100949, -8.935620, -0.850030, 4.234, 151.7413, 22.48574, -267.2476, -2.30886e-30, 282.2859, 2.43879e-30, 82.6193, 7.13783e-31 ,0 
101070, -8.379550, -0.673520, 6.494, 163.85183, 24.28034, 358.6582, 3.0986e-30, -195.678, -1.69054e-30, -100.5975, -8.69104e-31 ,0 
101892, -8.022420, -0.869890, 0.665, 160.81146, 23.8298, 69.8721, 6.03654e-31, -56.7071, -4.89916e-31, -4.6069, -3.98006e-32 ,.284534 
10243279, -9.673380, -0.575270, 3.573, 190.79007, 28.27217, -109.5042, -9.46052e-31, 13.8839, 1.19948e-31, 93.8509, 8.10817e-31 ,.005466 
10376773, -7.701200, -1.365220, 4.941, 168.91831, 25.03111, -397.8146, -3.43689e-30, -25.9121, -2.23865e-31, 157.6022, 1.36159e-30 ,0 
10379, -8.989730, -1.731980, 4.01, 176.6128, 26.17132, -1304.0129, -1.12659e-29, -133.563, -1.15391e-30, -146.5237, -1.26588e-30 ,.109124 
10398412, -9.331830, 0.151080, 1.668, 174.35258, 25.83639, -63.0744, -5.44926e-31, -38.5728, -3.33246e-31, 0.0754, 6.5123e-34 ,.010917 
1040548, -9.062750, -1.217980, 7.343, 168.95422, 25.03643, 215.6431, 1.86303e-30, 341.037, 2.94636e-30, -150.9409, -1.30404e-30 ,.000033 
1042698, -9.173480, -1.393300, 3.776, 164.79163, 24.4196, 505.3779, 4.36617e-30, -290.5408, -2.5101e-30, -9.7328, -8.40857e-32 ,0 
10465615, -7.814660, -1.803500, 6.741, 218.76285, 32.41731, -4496.878, -3.88504e-29, 38.0657, 3.28865e-31, 26.1627, 2.26031e-31 ,.223071 
10512801, -9.273240, -1.417060, 3.68, 174.37963, 25.84039, 551.2071, 4.76211e-30, 78.6566, 6.79547e-31, -2.203, -1.90327e-32 ,.001981 
10561976, -8.719410, -0.340220, 2.612, 197.30375, 29.2374, -341.0028, -2.94607e-30, -215.3764, -1.86073e-30, -6.2386, -5.3898e-32 ,.007603 
10656184, -9.011250, 0.093070, 0.706, 182.74932, 27.08066, -37.0853, -3.20395e-31, 76.5474, 6.61325e-31, -8.9414, -7.72482e-32 ,0 
